IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
3042423,0.8941929,0.07028551,-0.35274792,0.26820856,0.22767293,0.02870173
3097811,0.91377,0.10480499,-0.69259334,0.52572846,0.4131415,0.043007333
3098392,0.89363724,0.06995767,0.031228757,0.2515867,0.1918459,0.031890754
3117248,0.8859903,0.05682417,-0.16243449,0.10083115,0.08703329,0.024554498
3324350,0.9221314,0.13012333,0.89504176,0.66044736,0.628778,0.051675063
3335446,0.9322009,0.24281895,-1.6105398,0.9742896,0.7815951,0.08937716
3345481,0.8936324,0.10795551,-0.93494135,0.2725234,0.2275344,0.041060694
3347366,0.8971908,0.16594973,-0.060133543,0.44811508,0.37653923,0.06572146
3354305,0.8948479,0.090114005,0.05051851,0.2840895,0.227631,0.038055453
3354946,0.89695275,0.264145,-1.018881,0.5281238,0.43914554,0.09332071
3410038,0.89152986,0.07469722,0.306434,0.2496299,0.2033286,0.03237471
3485618,0.9015894,0.1114703,-1.1462324,0.38008747,0.3233298,0.044637103
3494245,0.90013564,0.0737446,-0.6717776,0.23752598,0.18016803,0.022600392
3534953,0.92501605,0.13367467,-0.5840143,0.7714204,0.6961899,0.06203902
3536276,0.89336026,0.07933023,-0.48844922,0.2350375,0.19696118,0.029899003
3580868,0.9029849,0.092479385,-0.44336915,0.36575884,0.306453,0.034766473
3590467,0.8963457,0.09646321,-0.85917616,0.2461804,0.19999851,0.035472635
3648080,0.90361214,0.11678909,-0.52152586,0.42082527,0.36136198,0.041736413
